State,FIPS,Name,Area,People2010
GA,13117,Forsyth County,224.02,175511
GA,13119,Franklin County,261.50,22084
GA,13121,Fulton County,526.63,920581
GA,13123,Gilmer County,426.54,28292
GA,13125,Glascock County,143.74,3082
GA,13127,Glynn County,419.75,79626
GA,13129,Gordon County,355.81,55186
GA,13131,Grady County,454.53,25011
GA,13133,Greene County,387.44,15994
GA,13135,Gwinnett County,430.38,805321
GA,13137,Habersham County,276.74,43041
GA,13139,Hall County,392.78,179684
GA,13141,Hancock County,471.84,9429
GA,13143,Haralson County,282.17,28780
GA,13145,Harris County,463.87,32024
GA,13147,Hart County,232.39,25213
GA,13149,Heard County,296.03,11834
GA,13151,Henry County,322.13,203922
GA,13153,Houston County,375.54,139900
GA,13155,Irwin County,354.34,9538
GA,13157,Jackson County,339.66,60485
GA,13159,Jasper County,368.16,13900
GA,13161,Jeff Davis County,330.74,15068
GA,13163,Jefferson County,526.48,16930
GA,13165,Jenkins County,347.28,8340
GA,13167,Johnson County,303.01,9980
GA,13169,Jones County,393.93,28669
GA,13171,Lamar County,183.50,18317
GA,13173,Lanier County,185.26,10078
GA,13175,Laurens County,807.30,48434
GA,13177,Lee County,355.78,28298
GA,13179,Liberty County,489.80,63453
GA,13181,Lincoln County,210.38,7996
GA,13183,Long County,400.29,14464
GA,13185,Lowndes County,496.07,109233
GA,13187,Lumpkin County,282.93,29966
GA,13189,McDuffie County,257.46,21875
GA,13191,McIntosh County,424.30,14333
GA,13193,Macon County,400.64,14740
GA,13195,Madison County,282.31,28120
GA,13197,Marion County,366.00,8742
GA,13199,Meriwether County,501.22,21992
GA,13201,Miller County,282.42,6125
GA,13205,Mitchell County,512.08,23498
GA,13207,Monroe County,395.66,26424
GA,13209,Montgomery County,239.52,9123
GA,13211,Morgan County,347.35,17868
GA,13213,Murray County,344.47,39628
GA,13215,Muscogee County,216.39,189885
GA,13217,Newton County,272.16,99958
GA,13219,Oconee County,184.29,32808
GA,13221,Oglethorpe County,439.01,14899
GA,13223,Paulding County,312.22,142324
GA,13225,Peach County,150.27,27695
GA,13227,Pickens County,232.06,29431
GA,13229,Pierce County,316.49,18758
GA,13231,Pike County,216.09,17869
GA,13233,Polk County,310.33,41475
GA,13235,Pulaski County,249.03,12010
GA,13237,Putnam County,344.64,21218
GA,13239,Quitman County,151.24,2513
GA,13241,Rabun County,369.99,16276
GA,13243,Randolph County,428.24,7719
GA,13245,Richmond County,324.33,200549
GA,13247,Rockdale County,129.79,85215
GA,13249,Schley County,166.91,5010
GA,13251,Screven County,645.10,14593
GA,13253,Seminole County,235.23,8729
GA,13255,Spalding County,196.47,64073
GA,13257,Stephens County,179.13,26175
GA,13259,Stewart County,458.73,6058
GA,13261,Sumter County,482.70,32819
GA,13263,Talbot County,391.39,6865
GA,13265,Taliaferro County,194.61,1717
GA,13267,Tattnall County,479.40,25520
GA,13269,Taylor County,376.69,8906
GA,13271,Telfair County,437.30,16500
GA,13273,Terrell County,335.44,9315
GA,13275,Thomas County,544.60,44720
GA,13277,Tift County,258.91,40118
GA,13279,Toombs County,364.00,27223
GA,13281,Towns County,166.56,10471
GA,13283,Treutlen County,199.44,6885
GA,13285,Troup County,413.99,67044
GA,13287,Turner County,285.39,8930
GA,13289,Twiggs County,358.40,9023
GA,13291,Union County,321.93,21356
GA,13293,Upson County,323.44,27153
GA,13295,Walker County,446.38,68756
GA,13297,Walton County,325.68,83768
GA,13299,Ware County,892.46,36312
GA,13301,Warren County,284.30,5834
GA,13303,Washington County,678.45,21187
GA,13305,Wayne County,641.78,30099
GA,13307,Webster County,209.12,2799
GA,13309,Wheeler County,295.48,7421
GA,13311,White County,240.69,27144
GA,13313,Whitfield County,290.46,102599
GA,13315,Wilcox County,377.70,9255
GA,13317,Wilkes County,469.49,10593
GA,13319,Wilkinson County,447.31,9563
GA,13321,Worth County,570.70,21679
