Data;Retorno;Volume
12/07/1963;0,005760569;570000
15/07/1963;0,002317578;810000
16/07/1963;0,006358603;795000
17/07/1963;0,005169622;810000
18/07/1963;0,008083423;907500
19/07/1963;0,000582093;712500
22/07/1963;0,002911426;600000
23/07/1963;0,002921396;840000
24/07/1963;0,00410238;630000
25/07/1963;0,001166901;547500
26/07/1963;0,005826236;390000
29/07/1963;0,003476367;330000
30/07/1963;0,023094041;1087500
31/07/1963;0,01918733;1140000
01/08/1963;0,001151513;982500
02/08/1963;0,006896791;360000
05/08/1963;0,01331065;405000
06/08/1963;0,009368555;817500
07/08/1963;0,010470891;532500
08/08/1963;0,004289641;510000
09/08/1963;0,010250736;675000
12/08/1963;0,00450871;817500
13/08/1963;0,019642009;1417500
14/08/1963;0,006054146;1320000
15/08/1963;0,006565342;877500
16/08/1963;0,003304019;435000
19/08/1963;0,001104759;307500
20/08/1963;0,012168571;480000
21/08/1963;0,005038926;285000
22/08/1963;0,008357038;495000
23/08/1963;0,008838766;442500
26/08/1963;0,003343832;375000
27/08/1963;0,017777831;562500
28/08/1963;0,00339372;630000
29/08/1963;0,002255064;547500
30/08/1963;0,005084474;675000
03/09/1963;0,006184176;817500
04/09/1963;0,001117102;870000
05/09/1963;0,005579978;577500
06/09/1963;0,017758801;1905000
09/09/1963;0,004362575;900000
10/09/1963;0,003285924;765000
11/09/1963;0,002182983;885000
12/09/1963;0,001094568;540000
13/09/1963;0,002190845;607500
16/09/1963;0,001097483;457500
17/09/1963;0,000275018;667500
18/09/1963;0,011260879;712500
19/09/1963;0,009444713;577500
20/09/1963;0,004952952;607500
23/09/1963;0,004381691;810000
24/09/1963;0,017602514;1102500
25/09/1963;0,009729884;2115000
26/09/1963;0,016920868;1665000
27/09/1963;0,003886673;945000
30/09/1963;0,007802976;645000
01/10/1963;0,004977609;645000
02/10/1963;0,001111513;345000
03/10/1963;0,017251129;382500
04/10/1963;0,009846981;1327500
07/10/1963;0,017334818;1095000
08/10/1963;0,014909931;1957500
09/10/1963;0;907500
10/10/1963;0,00648591;765000
11/10/1963;0,007519371;1102500
14/10/1963;0,014925163;1095000
15/10/1963;0,004201528;1485000
16/10/1963;0,025627263;1350000
