Apolice;Inicio de vigência;Fim de vigência;Qtd_Sinistros;sin_liq_casco
5212;29/12/2021;29/12/2022;1;2351.41
5272;12/03/2021;12/03/2022;1;8948.78
5322;19/04/2021;19/04/2022;1;5813.21
5394;24/09/2021;24/09/2022;1;1582.02
5445;25/01/2021;25/01/2022;1;4286.15
5583;28/01/2021;28/01/2022;1;14276.51
5619;14/08/2021;14/08/2022;1;8430.91
5644;17/11/2021;17/11/2022;1;1371.29
5716;13/09/2021;13/09/2022;1;7205.22
5717;25/11/2021;25/11/2022;1;3079.53
5734;25/04/2021;25/04/2022;1;1000
5806;25/01/2021;25/01/2022;1;4286.15
5840;18/01/2021;18/01/2022;1;5468.45
5949;28/01/2021;28/01/2022;1;14276.51
5951;25/09/2021;25/09/2022;1;9062.06
5980;14/08/2021;14/08/2022;1;8430.91
6007;17/11/2021;17/11/2022;1;1371.29
6073;02/12/2021;02/12/2022;1;7205.22
6074;25/11/2021;25/11/2022;1;3079.53
6133;31/05/2021;31/05/2022;1;2620.16
6148;04/09/2021;04/09/2022;1;4328.01
6180;13/03/2021;13/03/2022;1;8412.36
6269;10/10/2021;10/10/2022;1;10961.81
6291;23/12/2021;23/12/2022;1;12055.49
6335;16/07/2021;16/07/2022;1;1338.1
6396;03/12/2021;03/12/2022;1;1359.37
6437;25/10/2021;25/10/2022;1;1000
6450;30/03/2021;30/03/2022;1;1116.81
6482;23/08/2021;23/08/2022;1;23481.01
6530;13/03/2021;13/03/2022;1;8412.36
6622;10/10/2021;10/10/2022;1;10961.81
6653;06/06/2021;06/06/2022;1;14761.1
6690;24/09/2021;24/09/2022;1;1338.1
6715;22/04/2021;22/04/2022;1;18359.91
6746;03/12/2021;03/12/2022;1;1359.37
6772;02/02/2021;02/02/2022;1;14436.84
6790;25/10/2021;25/10/2022;1;1000
6803;04/02/2021;04/02/2022;1;1116.81
6835;23/02/2021;23/02/2022;1;23481.01
6897;18/04/2021;18/04/2022;1;1753.78
7026;05/09/2021;05/09/2022;1;3736.84
7028;06/12/2021;06/12/2022;1;97330.95
7052;08/12/2021;08/12/2022;1;14812.45
7076;30/11/2021;30/11/2022;1;16626.98
7087;05/06/2021;05/06/2022;1;5909.5
7089;07/04/2021;07/04/2022;1;2827.21
7093;06/03/2021;06/03/2022;1;4741.13
7095;04/02/2021;04/02/2022;1;3924.64
7107;18/03/2021;18/03/2022;1;6206.98
7143;26/06/2021;26/06/2022;1;121030.8
7266;18/04/2021;18/04/2022;1;1753.78
7342;15/01/2021;15/01/2022;1;2979.12
7387;05/09/2021;05/09/2022;1;3736.84
7389;06/12/2021;06/12/2022;1;97330.95
7438;30/11/2021;30/11/2022;1;16626.98
7451;24/06/2021;24/06/2022;1;3716.38
7460;06/03/2021;06/03/2022;1;4741.13
7469;18/03/2021;18/03/2022;1;6206.98
7508;26/06/2021;26/06/2022;1;121030.8
7589;28/01/2021;28/01/2022;1;1000
7594;07/06/2021;07/06/2022;1;1000
7604;31/03/2021;31/03/2022;1;1000
7614;07/11/2021;07/11/2022;1;7809.71
7618;10/12/2021;10/12/2022;1;2805.8
7673;10/12/2021;10/12/2022;1;6014.35
7674;15/04/2021;15/04/2022;1;5627.44
7778;08/04/2021;08/04/2022;1;118017
7791;15/07/2021;15/07/2022;1;1000
7824;09/12/2021;09/12/2022;1;19151.09
7868;17/10/2021;17/10/2022;1;1000
7900;04/04/2021;04/04/2022;1;1000
7904;02/06/2021;02/06/2022;1;1000
7913;28/01/2021;28/01/2022;1;1000
7918;07/06/2021;07/06/2022;1;1000
7929;31/03/2021;31/03/2022;1;1000
7946;10/12/2021;10/12/2022;1;2805.8
7998;10/12/2021;10/12/2022;1;6014.35
7999;15/04/2021;15/04/2022;1;5627.44
